Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$155.70,0.66,0.426%,47246110133.00,United States,1999,1209255,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,$40.71,1.96,5.058%,7607321211.00,,2016,6141478,Basic Industries,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$9.77,0.06,0.618%,1221250000.00,,2021,96954,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,$2.86,-0.01,-0.348%,90665398.00,China,,31263,Miscellaneous,Service to the Health Industry
AAIC,Arlington Asset Investment Corp Class A (new),$3.86,0.06,1.579%,129237359.00,United States,,178809,Finance,Finance/Investors Services
AAIC^B,Arlington Asset Investment Corp 7.00% ,$25.075,-0.0558,-0.222%,,United States,,184,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$25.00,-0.233,-0.923%,,United States,,1850,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$24.77,0.01,0.04%,0.00,United States,,31330,,
AAL,American Airlines Group Inc. Common Stock,$21.02,0.11,0.526%,13609563608.00,United States,,28254416,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,$15.64,0.60,3.989%,32035709.00,United States,,9312,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,$4.53,0.29,6.84%,92483492.00,United States,,28547,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,$27.65,-0.31,-1.109%,903396422.00,United States,2020,135711,Technology,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,$7.15,-0.55,-7.143%,192063929.00,United States,2013,1627372,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$67.25,4.02,6.358%,3526264981.00,United States,,214845,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$205.72,-0.62,-0.30%,13462084336.00,United States,,521438,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,$146.14,-0.70,-0.477%,2533678867600.00,United States,1980,54087029,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,$9.66,0.00,0.00%,483000000.00,,2021,10178,Finance,Business Services
AAT,American Assets Trust Inc. Common Stock,$37.93,0.33,0.878%,2293705425.00,United States,2011,218454,Consumer Services,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,$6.79,-0.17,-2.443%,36355948.00,United States,,38427,Capital Goods,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,$0.4264,-0.0151,-3.42%,58511208.00,Canada,2015,267484,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$72.87,2.35,3.332%,2113872349.00,United States,,438396,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,$49.98,-0.76,-1.498%,4983446124.00,United States,,200369,Finance,Investment Managers
ABB,ABB Ltd Common Stock,$36.98,-0.31,-0.831%,74181880000.00,Switzerland,,1126254,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,$114.45,-0.67,-0.582%,202253239637.00,United States,2012,5337367,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$120.64,-1.25,-1.026%,25022028899.00,United States,,1116601,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,$50.16,1.00,2.034%,3499523203.00,United States,1994,405481,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,$14.97,-0.64,-4.10%,4055760543.00,Canada,2020,1634515,,
ABCM,Abcam plc American Depositary Shares,$20.40,0.90,4.615%,4626019362.00,United Kingdom,2020,158527,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,$1.29,0.01,0.781%,130582848.00,United States,,632033,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$3.22,0.05,1.577%,50673658848.00,,2013,19417793,Consumer Non-Durables,Beverages (Production/Distribution)
